INSEE,Commune,Nombre de réponses (après filtrage),Note moyenne,Type de commune,Services et stationnement,Efforts de la Commune,Confort,Securité,Ressenti général
34157,Mèze,10,4.58,petites villes,4.82,4.7,4.68,4.3,4.46
34150,Marseillan,92,4.52,petites villes,4.26,4.79,4.47,4.38,4.61
27701,Val-de-Reuil,42,4.5,petites villes,4.53,4.67,4.06,4.47,4.66
35001,Acigné,76,4.43,petites villes,4.12,4.71,4.3,4.31,4.6
85035,Bretignolles-sur-Mer,104,4.41,petites villes,4.54,4.49,4.48,4.29,4.3
40312,Tarnos,85,4.39,petites villes,4.56,4.59,4.18,4.27,4.36
49248,Ombrée d'Anjou,13,4.34,petites villes,3.62,4.37,4.29,4.54,4.63
13105,Sénas,12,4.33,petites villes,4.5,4.62,4.45,4.01,4.23
33214,Lacanau,75,4.3,petites villes,4.67,4.44,4.02,4.21,4.2
66171,Saint-Cyprien,14,4.3,petites villes,3.95,4.68,4.13,4.27,4.41
33009,Arcachon,10,4.29,petites villes,4.85,4.12,3.74,4.57,4.11
44128,Plessé,12,4.28,petites villes,4.48,4.79,4.27,3.79,4.27
67411,Rosheim,11,4.26,petites villes,4.45,3.89,4.33,4.32,4.18
77470,Tournan-en-Brie,83,4.22,petites villes,3.73,4.43,4.27,4.24,4.29
95313,L'Isle-Adam,22,4.2,petites villes,4.16,4.42,4.15,4.0,4.27
85234,Saint-Jean-de-Monts,61,4.2,petites villes,4.68,4.22,3.86,4.11,4.15
35177,La Mézière,40,4.19,petites villes,3.81,4.23,4.16,4.05,4.46
67300,Molsheim,99,4.17,petites villes,4.03,4.23,4.35,4.09,4.11
07102,Guilherand-Granges,27,4.16,petites villes,4.4,4.13,3.76,4.09,4.32
40065,Capbreton,104,4.16,petites villes,4.42,4.24,4.06,4.03,4.08
85222,Saint-Gilles-Croix-de-Vie,201,4.15,petites villes,4.39,4.24,4.1,4.02,4.05
11170,Gruissan,150,4.14,petites villes,4.05,4.5,3.97,4.02,4.17
34344,La Grande-Motte,69,4.12,petites villes,4.59,4.05,3.45,4.21,4.2
85226,Saint-Hilaire-de-Riez,94,4.1,petites villes,4.48,4.16,3.82,4.08,4.03
62014,Aire-sur-la-Lys,19,4.07,petites villes,4.32,4.25,4.2,3.58,4.08
13084,La Roque-d'Anthéron,17,4.06,petites villes,4.35,4.1,3.8,3.98,4.09
40310,Soustons,50,4.03,petites villes,4.22,4.07,4.08,3.85,3.97
01143,Divonne-les-Bains,11,4.03,petites villes,4.66,3.91,3.55,4.14,3.9
30341,Vauvert,50,3.99,petites villes,4.15,4.51,4.03,3.54,3.91
79329,Thouars,73,3.95,petites villes,3.7,4.22,4.1,3.68,4.03
56240,Sarzeau,41,3.95,petites villes,4.35,4.07,3.81,3.6,4.02
77249,Lésigny,10,3.93,petites villes,2.8,4.03,3.84,4.23,4.27
67348,Obernai,59,3.92,petites villes,4.52,3.8,4.04,3.66,3.72
56176,Pluneret,13,3.9,petites villes,4.17,3.96,3.97,3.63,3.84
22055,Binic-Étables-sur-Mer,55,3.89,petites villes,4.28,4.2,3.85,3.43,3.9
38140,Crolles,37,3.88,petites villes,4.3,3.88,3.86,3.61,3.85
35240,Le Rheu,126,3.87,petites villes,3.71,4.09,3.71,3.66,4.06
26116,Donzère,16,3.86,petites villes,3.59,4.42,3.84,3.65,3.85
40184,Mimizan,19,3.85,petites villes,4.01,3.99,3.81,3.66,3.85
79195,Nueil-les-Aubiers,16,3.85,petites villes,3.28,4.11,4.04,3.77,3.96
67152,Geispolsheim,12,3.85,petites villes,3.92,3.52,4.2,3.86,3.67
44110,Nort-sur-Erdre,36,3.85,petites villes,4.75,3.76,3.87,3.38,3.77
66008,Argelès-sur-Mer,24,3.83,petites villes,3.99,3.74,3.52,3.73,4.02
44041,La Chevrolière,49,3.83,petites villes,3.16,4.37,3.83,3.7,3.99
44182,Saint-Michel-Chef-Chef,18,3.83,petites villes,3.94,3.9,3.9,3.63,3.81
59449,Orchies,59,3.8,petites villes,3.94,4.24,3.7,3.49,3.78
77268,Magny-le-Hongre,60,3.79,petites villes,3.05,3.9,3.52,3.91,4.21
29260,Saint-Renan,78,3.76,petites villes,3.51,3.91,3.58,3.7,3.93
66189,Saleilles,25,3.75,petites villes,3.36,3.68,3.7,3.7,4.11
56003,Arradon,52,3.71,petites villes,3.8,3.8,3.67,3.45,3.83
40133,Labenne,22,3.71,petites villes,3.94,3.6,3.85,3.51,3.68
36006,Argenton-sur-Creuse,38,3.71,petites villes,4.38,3.65,3.66,3.51,3.53
85003,Aizenay,28,3.71,petites villes,4.08,3.71,3.66,3.46,3.72
42149,Montrond-les-Bains,14,3.7,petites villes,3.62,4.11,3.46,3.4,3.87
33090,Canéjan,10,3.69,petites villes,2.82,3.98,3.44,3.92,3.96
66144,Pollestres,19,3.69,petites villes,3.38,4.21,3.92,3.25,3.73
49214,Montreuil-Juigné,71,3.69,petites villes,3.63,4.05,3.5,3.53,3.77
34255,Saint-Gély-du-Fesc,87,3.69,petites villes,3.25,3.87,3.55,3.61,3.95
85288,Talmont-Saint-Hilaire,65,3.68,petites villes,3.67,3.76,3.62,3.38,3.91
33005,Andernos-les-Bains,22,3.67,petites villes,4.05,3.5,3.57,3.71,3.52
56007,Auray,72,3.67,petites villes,4.55,3.72,3.59,3.1,3.68
30133,Le Grau-du-Roi,56,3.66,petites villes,4.17,3.61,3.2,3.6,3.74
14488,Ouistreham,15,3.65,petites villes,3.6,3.6,3.71,3.53,3.74
59653,Wavrin,105,3.65,petites villes,3.34,3.73,3.77,3.56,3.76
85152,Les Achards,20,3.65,petites villes,4.05,3.81,3.46,3.24,3.77
34192,Palavas-les-Flots,36,3.64,petites villes,3.78,3.35,3.7,3.67,3.62
67130,Erstein,19,3.64,petites villes,3.67,3.61,3.89,3.59,3.51
53034,Bonchamp-lès-Laval,53,3.62,petites villes,3.34,3.74,3.49,3.48,3.86
53147,Mayenne,51,3.62,petites villes,4.16,3.84,3.8,3.09,3.5
21292,Genlis,41,3.61,petites villes,2.93,4.12,3.63,3.46,3.79
17219,Marennes-Hiers-Brouage,11,3.61,petites villes,3.5,3.82,3.76,3.38,3.65
50218,Granville,82,3.61,petites villes,3.9,3.98,3.67,3.15,3.58
38397,Saint-Ismier,14,3.6,petites villes,3.54,3.57,3.59,3.5,3.73
85178,Le Poiré-sur-Vie,67,3.6,petites villes,3.72,3.76,3.6,3.3,3.7
45203,Meung-sur-Loire,36,3.59,petites villes,4.14,3.7,3.67,3.09,3.56
28103,Cloyes-les-Trois-Rivières,12,3.59,petites villes,3.56,3.29,3.32,3.65,3.92
35069,Châteaugiron,82,3.59,petites villes,3.64,3.62,3.64,3.31,3.71
17421,Saujon,67,3.58,petites villes,4.26,3.54,3.36,3.28,3.61
77349,Othis,11,3.58,petites villes,2.91,3.77,3.35,3.65,3.96
37003,Amboise,68,3.58,petites villes,4.36,3.83,3.46,3.15,3.45
68063,Cernay,39,3.58,petites villes,3.57,3.52,3.76,3.45,3.58
44005,Chaumes-en-Retz,22,3.57,petites villes,3.26,3.61,3.49,3.39,3.9
42005,Andrézieux-Bouthéon,36,3.56,petites villes,3.9,4.14,3.52,3.06,3.49
85155,Mouilleron-le-Captif,74,3.54,petites villes,3.71,3.41,3.39,3.45,3.71
78160,Chevreuse,13,3.54,petites villes,3.94,3.21,3.38,3.69,3.48
44015,Blain,21,3.54,petites villes,3.83,3.55,3.74,3.1,3.59
22050,Dinan,121,3.54,petites villes,3.9,3.51,3.64,3.25,3.53
56184,Questembert,17,3.53,petites villes,3.57,3.93,3.33,3.22,3.7
66049,Céret,46,3.53,petites villes,3.51,3.38,3.6,3.48,3.57
37027,Bléré,21,3.52,petites villes,4.17,3.31,3.3,3.35,3.53
07281,Saint-Péray,24,3.51,petites villes,3.99,3.6,3.19,3.28,3.57
13100,Saint-Rémy-de-Provence,24,3.51,petites villes,3.98,3.69,3.48,3.04,3.53
44154,Saint-Brevin-les-Pins,95,3.51,petites villes,3.79,3.52,3.16,3.33,3.72
68112,Guebwiller,63,3.51,petites villes,3.87,3.53,3.5,3.25,3.52
35188,Montfort-sur-Meu,15,3.5,petites villes,3.85,3.75,3.19,3.32,3.5
60141,Chantilly,57,3.49,petites villes,3.36,3.54,3.42,3.44,3.62
82125,Montech,19,3.49,petites villes,2.86,3.83,3.89,3.28,3.53
29130,Locmaria-Plouzané,27,3.49,petites villes,3.29,3.25,3.5,3.57,3.62
77037,Bois-le-Roi,64,3.49,petites villes,3.26,3.73,3.47,3.19,3.75
67021,Barr,10,3.49,petites villes,4.18,3.25,3.42,3.63,3.13
79174,Melle,24,3.48,petites villes,3.31,4.1,3.02,3.31,3.67
34088,Cournonterral,63,3.48,petites villes,2.85,3.44,3.81,3.56,3.54
44036,Châteaubriant,57,3.45,petites villes,4.27,3.25,3.17,3.16,3.51
45004,Amilly,14,3.44,petites villes,3.5,3.25,3.54,3.36,3.47
38249,Montbonnot-Saint-Martin,41,3.44,petites villes,3.51,3.24,3.37,3.39,3.57
79079,Mauléon,31,3.44,petites villes,3.14,3.58,3.56,3.31,3.57
74280,Thônes,80,3.44,petites villes,3.71,3.61,3.36,2.98,3.59
14228,Douvres-la-Délivrande,26,3.44,petites villes,3.22,3.62,3.26,3.38,3.59
69043,Chaponost,43,3.43,petites villes,3.7,3.45,3.08,3.3,3.59
12208,Saint-Affrique,16,3.43,petites villes,4.16,3.27,3.1,3.03,3.62
34247,Saint-Clément-de-Rivière,60,3.43,petites villes,3.32,3.7,3.19,3.27,3.62
11266,Port-la-Nouvelle,15,3.43,petites villes,3.82,3.4,3.13,3.12,3.66
